words,nos,translation
kæmi,615,would come
þitt,614,your
leiđin,614,tide
fundum,614,meet
ūekkirđu,614,ūekirđu
bæ,614,bye
seinn,613,late
sást,613,are seen
þeirra,612,their
ūriđja,612,year
vitni,612,witness
Bill,611,Bill
sæktu,611,Look
stelpu,610,girl
gerði,609,did
tveggja,609,two
k,609,k
Jimmy,607,Jimmy
dollara,607,dollar
saga,607,tale
föt,606,clothing
Žice,606,Žice
fékkst,605,got
hefurðu,605,do you have
getir,604,capable
borgar,604,pays
segist,604,sore
lögga,604,cop
Rippađ,603,Rippre
blķđ,600,page
gerđum,599,brother
ríđa,598,rise
stoltur,597,proud
eyđa,596,destroy
Hamingjan,594,Happiness
valdi,593,chose
Washington,593,Washington
höndum,593,load
skķlanum,592,ski
húsi,592,house
áttum,591,wish
sérstaklega,591,especially
höndina,590,hand
augum,590,eye
Anna,589,Anna
notađ,588,use
sendir,588,send
hrađar,588,speed
hvorki,588,neither
treysta,587,trust
skila,585,return
bréf,585,correspondence
Peter,584,Peter
Jim,584,Jim
vinnuna,584,work
skķla,584,possess
algjör,583,complete
hlauptu,582,run
ofursti,582,colonel
bæta,581,patch
keyra,581,drive
hittir,579,meet
rúmiđ,578,bit
kjafti,578,cast
neinu,577,anything
samūykkt,576,the same
sũnir,576,sensual
lítil,576,small
skemmta,576,entertain
vid,575,we
fast,574,solid
fjölskylda,574,family
ūekkja,574,yokka
viđbķt,573,viđbķt
kostar,572,costs
reiđur,572,tranter
metra,572,meter
stjķrna,571,star
lík,571,corpse
anda,571,breathe
skjķttu,571,shaved
manneskja,570,character
myndu,570,would
Richard,570,Richard
stríđ,569,tendency
rassinn,568,assposed
tík,568,bitch
ađstođ,567,ađstođ
ūaõ,565,ūaõ
kallast,564,called
mest,564,most
rétti,564,court
Iagi,564,Strain
svarađu,563,reply
drífa,563,not
ūinnar,560,its
treysti,559,trust
sætt,559,cute
draga,559,pull
háriđ,558,hair
hiđ,557,here
auðvitað,557,of course
vandræđum,556,trouble
skotiđ,556,shot
minnst,555,least
veginn,554,weigh
einni,554,single
værum,554,would
heiminn,554,world
eilífu,554,forever
bjķ,553,live
flũttu,553,flip
suđur,552,south
fljķtlega,551,quickly
stjķri,551,star
sinna,551,take care of
jķl,550,jķl
virđingu,550,respect
vitađ,549,know
virtist,548,seemed
stöđu,548,stand
segiđ,547,say
hverja,547,who
andartak,547,instant
borgađ,547,pay
sjáðu,546,see
borg,546,city
fķrst,545,before
stúlkan,545,the girl
heppinn,545,lucky
bođiđ,545,offer
Chris,543,Chris
hverfa,542,vanish
morđ,541,mour
hugsar,540,thinks
algjörlega,540,quite
snúđu,540,spin
Amy,539,Amy
Martin,539,Martin
hlaupa,539,run
hins,539,on
heitirđu,539,called
međal,538,med
dáin,538,dead
vi,538,we
drífđu,537,engines
báđir,537,both
norđur,536,northern
kalt,535,cold
þennan,534,this
losna,532,release
forseti,532,president
fullkomiđ,531,perfect
syngja,531,sing
Matt,531,Matt
Heyrðu,531,listen
fela,531,hide
hvor,530,which
muna,530,remember
vara,530,abide
þína,530,your
éta,529,eat
lít,529,colour
skrifađi,528,written
sögđu,527,said
hugsađi,527,think
hliđ,527,side
peningar,526,money
minnsta,526,least
misst,526,lose
bráđum,526,soon
glas,526,glass
sofiđ,525,sleep
fjölskyldan,525,the family
hvergi,525,nowhere
skrítiđ,525,indignation
strákurinn,524,the boy
starfiđ,524,work
Kevin,523,Kevin
neinum,523,anyone
fķrum,523,favor
hættur,523,quit
muni,523,will
langan,522,long
ķska,522,ķSka
verđurđu,522,worth
Walter,522,Walter
símanum,522,phone
lokum,521,close
hefđum,520,have
hringir,519,rings
reka,519,operate
djúpt,518,deep
bar,518,bar
breyst,518,changed
ä,517,Ä
einfalt,517,simple
klukkutíma,517,hour
ljúka,516,terminate
fengum,516,got
u,516,u
lagiđ,515,song
grein,515,article
frænda,515,cousin
lenti,514,landed
gráta,514,cry
spennandi,513,exciting
sæki,513,gain
reiđ,513,rid
svariđ,513,answer
vinnunni,513,the work
gömlu,512,old
skipiđ,512,ship
gķđir,511,god
notar,511,uses
ūekkti,510,ūek
kynlíf,510,sex
s,509,s
Tony,509,Tony
hundur,508,dog
ķūarfi,508,ķFar
síðan,508,since
andlit,507,face
frétti,507,news
helvíti,507,hell
Danny,506,Danny
ástæđu,506,beloved
Joey,505,Joey
ūakkir,505,ūakkir
rödd,505,voice
allur,504,all
fannstu,504,did you find
matur,503,grub
starfi,503,pursuit
lesiđ,502,read
hefđu,501,hearing
bæinn,501,the town
vitir,501,know
heiđur,500,here
fyrrverandi,500,ex
tel,499,concede
slá,499,mow
frænka,498,cousin
lögregluna,498,police
vinkona,498,friend
Tim,497,Tim
hár,497,tall
sjálfsagt,497,of course
falla,496,tumble
ungur,496,young
bauđ,495,wonder
varđandi,495,bearing
miklum,495,great
eldri,495,elder
ábyrgđ,494,guarantee
fyrirgefiđ,494,forgive
tré,494,wood
gleymt,494,forget
far,493,print
sömuleiđis,493,likewise
pá,493,town
framar,492,beyond
einskis,492,vain
William,491,William
kanna,491,survey
milljķn,490,mill
grín,490,comedy
lög,490,law
félagar,489,companions
prķfa,489,try
einnig,489,also
Charles,489,Charles
rúminu,489,bed
leggđu,489,lay
veg,488,road
skođun,488,view
skotinn,488,shooting
ókei,487,okay
útskũra,487,share
legg,486,place
konunni,486,woman
fyrramáliđ,486,early
svoleiđis,486,kind
rķlega,486,wonderfully
náiđ,486,acquire
hreint,486,clean
stķri,485,stiff
paō,485,paō
fallegur,485,beautiful
líkist,484,resemble
Lee,484,Lee
stefnumķt,483,appointment
frí,483,holiday
fínn,482,exclusive
Jake,482,Jake
myndum,482,films
fjandann,482,hostile
vandræđi,482,problem
kemurđu,482,come
allavega,482,at least
fé,482,money
trufla,480,disturb
pakka,480,pack
liđi,479,live
skrũtiđ,479,junk
andlitiđ,479,facial
bíll,478,automobile
kærlega,477,dearly
skip,477,ship
tekst,477,manual
gift,476,married
vaknađu,476,waking up
hverri,475,every
geturðu,475,can you
búnir,475,bomb
London,475,London
hart,475,hard
skjķtiđ,474,blaze
leyndarmál,473,secret
borginni,473,city
reynum,473,try
matinn,473,the food
fķrstu,472,feather
vél,471,machine
km,471,km
gang,471,course
hjartađ,470,heart
Arthur,470,Arth
aó,470,ao
þínum,470,your
meta,470,appreciate
Robert,469,Robert
málinu,469,the case
slæm,469,bad
máttu,469,could
fjölskyldunni,469,family
tuttugu,469,twenty
vina,468,friends
fái,468,receive
ađstođađ,467,Antođađa
fullur,467,drunk
röđ,466,displacement
byrjađi,466,start
treystu,465,trust
mikinn,465,much
manninum,464,man
flottur,463,cool
Steve,462,Steve
nũjan,462,nũjan
hét,461,was called
horfir,461,prospect
foreldra,461,parent
sál,460,soul
dũr,460,dũr
myndirđu,460,would
Bandaríkjanna,460,US
líđa,460,sorry
Kærar,460,Appeal
San,459,Extra
herbergiđ,459,room
ákvörđun,458,decision
héIt,458,heard
þangað,458,there
la,458,lay
breytir,457,modify
verja,457,defend
skít,457,shit
rætt,456,discussed
veikur,456,sick
hlut,456,share
treyst,455,trust
dásamlegt,455,wonderful
spyrđu,455,ask
telja,455,presume
venjulega,454,usually
e,454,e
kosti,454,option
ákveđiđ,453,definite
yfirleitt,453,usually
slys,453,accident
svalt,453,cool
Gary,452,Gary
ástæđa,452,beloved
ķhætt,452,ķ HAIP
frjáls,451,free
setjast,451,sit down
Chicago,451,Chicago
virđast,451,seem
framhjá,451,by
hræđilegt,451,pure
kæri,451,Dear
miđa,451,age
athygli,450,attention
manneskju,450,human
gaurinn,450,guy
loks,449,finally
kyssa,449,kiss
B,449,B
tilfinningar,449,feelings
Will,448,Will
bjķst,448,be sure
lifađ,447,live
sigra,447,conquer
pad,447,pad
náunga,447,neighbor
vatniđ,447,water
ūögn,447,wagon
ástæđan,446,affection
ættu,446,should
rosalega,446,very
viljir,446,will
liđ,445,li
tæki,445,appliance
stúlkur,445,girls
fáránlegt,444,ridiculous
set,444,farm
brjálađur,443,crazy
myndina,443,the picture
vinum,443,friends
lagt,442,lake
starfa,442,work
heldurðu,441,Do you think
fljķt,441,fljķt
þurfum,441,need
stolt,440,pride
klár,440,smart
sumar,440,summer
peningum,440,money
detta,440,fall
stađiđ,439,stole
svangur,439,hungry
lifi,438,live
giftist,438,married
sæt,438,cute
fyrra,438,last year
yfirmađur,438,poll
sætur,437,cute
þarft,437,need
sprengja,436,bomb
annarri,436,another
Adam,435,Adam
frelsi,435,freedom
skipstjķri,434,captain
losa,434,unload
telur,434,think
situr,433,sit
þannig,433,thus
fylgist,432,follow
dķmari,432,Dķmari
trúđu,432,believe
Smith,431,Smith
hættulegt,431,Dangerous
hafði,430,had
vinsamlegast,430,please
viđskipti,430,exchange
Sarah,430,Sarah
æđislegt,430,easy
náunginn,429,guy
eflaust,429,no doubt
birtist,428,Appears
FBI,428,FBI
sein,427,late
snúiđ,427,twist
dreptu,427,kill
leikinn,426,proficient
ūreyttur,425,tended
doktor,424,doctoral
stal,424,stalk
hreyfa,424,move
dagar,424,days
krakki,424,kid
kenndi,423,tought
bíđ,423,Worth
miđađ,422,milestone
ūurfiđ,422,ūurfi
bjargađ,422,rescue
syni,421,sons
mánuđum,421,months
stærri,420,bigger
Scott,420,Next
aldri,420,9
stig,419,phase
minnir,419,remind
flũja,419,buoy
ásamt,418,combined
ũmislegt,418,mimic
hershöfđingi,418,general
gastu,418,when
fylgdu,418,follow
hommi,417,gorm
semja,417,negotiate
auga,417,eye
stelpan,416,girl
lokađ,416,closure
Thomas,416,Thomas
skķlann,416,skull
hring,416,ring
liđūjálfi,415,liđū
meiđa,415,This
nokkru,414,now
bũ,414,bundle
frétta,414,news
Jess,413,Jess
skrifađ,413,writing
vakna,413,wake up
félaga,413,partner
bjargađi,412,rescue
berja,412,beat
Stan,412,Town
bíđum,412,Worth
íbúđ,411,residential
aldeilis,411,quite
fæddist,411,was born
heila,411,whole
skyndilega,410,suddenly
skera,410,intersect
fjķrar,410,fartur
setur,409,seats
sagan,409,the story
ensku,409,English
gæta,409,guard
hægan,409,slow
lenda,409,land
yngri,409,junior
Gleđileg,408,Fun
leitar,408,search
hjálpiđ,407,helper
fyrirtæki,407,firm
stelpurnar,407,the girls
Texas,407,Texas
þykir,407,seems
fötin,406,the clothes
veđja,406,conflate
bķkina,405,Bķkina
t,405,t
heyriđ,405,hear
versta,405,worst
stjķrnar,404,star
reykja,404,smoke
nóg,404,enough
auli,404,idiot
nægir,404,enough
tķku,403,tķku
leiđir,403,paths
veita,403,bestow
ung,402,young
lífs,402,life
hendi,402,hand
braut,402,track
bad,402,bath
flestir,402,most
varđar,401,heather
héðan,401,from
ánægđ,401,satisfaction
indælt,401,wonderful
mínútum,401,minutes
vikum,400,weeks
ķvænt,400,ķ
tķlf,400,tķlf
sérstakt,399,special
hetja,399,hero
fund,398,meeting
fellur,398,fallen
byssur,398,guns
upptekinn,398,busy
hundrađ,398,hundreds
konungur,397,king
fyrri,397,former
títt,397,frequent
ferđast,397,traveled
Kaliforníu,396,California
kærasta,396,girlfriend
notum,396,uses
fjölskylduna,396,family
voruđ,396,were
Jerry,395,Jerry
hreinu,395,clean
ljķst,394,lin
heita,394,pledge
númeriđ,394,number
sefur,393,sleeps
hissa,393,surprised
ūađan,392,since
eyđileggja,392,sprinkle
kannt,392,may
berst,392,fight
Vegas,391,Vegas
bull,391,nonsense
götunni,391,the street
Los,391,Released
augunum,391,eyes
verst,390,worst
framtíđ,390,forward
hirđi,390,her
draumur,390,dream
kanntu,389,may you
piltar,389,boys
ūykist,389,urise
hefst,389,begin
fín,389,fine
mikils,389,great
o,389,o
Annie,389,Annie
herberginu,389,the room
kl,389,at
verki,388,work
svar,388,answer
sat,388,sit
muniđ,387,will
dagurinn,387,the day
vinnum,387,contact
lũkur,387,flaw
dettur,387,sew
líkama,386,body
hvad,386,what
megi,386,may
keppni,386,competition
stræti,386,street
elskađi,385,love
hlæja,385,laugh
hlustiđ,385,listen
gakktu,385,ensure
hafið,385,sea
sannleikurinn,385,the truth
vit,384,knowledge
Larry,384,Larry
löggan,384,cop
gerðist,384,happened
bũđur,384,both
stutt,384,bulletin
varð,383,became
Lucy,383,Lucy
forsetinn,383,the president
kæra,383,accuse
dáiđ,383,coma
passar,383,fits
kasta,382,throw
vildu,382,wish
tímum,381,times
skildu,381,divide
Rosie,381,Rosie
Fred,380,Fred
veldur,380,causes
kallađi,380,call
fífliđ,380,fool
ūeirri,379,Year
missir,379,loss
kallađu,379,call
leiđinlegt,379,retinal
aka,379,drive
París,378,Paris
Jason,378,Jason
Phil,378,Phil
stađnum,378,style
njķta,378,use
hljķđ,377,sound
skref,377,step
æfa,377,rehearse
færir,377,moves
góða,377,good
ræđ,377,robbery
yfirgefa,377,desert
aumingja,376,poor
haldið,376,held
fylgir,376,follows
málum,376,issue
möguleika,376,possibility
handan,376,beyond
afmæli,375,birth
mála,375,paint
sũnt,375,who
baki,375,back
flugvél,375,airplane
virka,375,function
stķrkostlegt,374,stutter
leysa,374,solve
grafa,374,engrave
Dan,374,Dan
hálfviti,373,moron
Jeff,373,Jeff
hermenn,373,military
ūyrfti,373,ūyfti
leggur,373,leg
Angeles,372,Angeles
hlutir,372,things
de,372,de
liggja,372,lie
borđiđ,372,eating
strákarnir,371,the boys
efast,371,doubt
brenna,371,burn
konum,371,women
pláss,371,space
bræđur,370,bridge
stoppađu,370,stop
lestu,370,read
her,370,army
heimskur,369,stupid
Jane,369,Jane
y,369,y
síđasti,368,ever
mennirnir,368,the men
ömmu,368,grandmother
jķlin,368,jķlin
stađurinn,368,pole
stend,367,stand
tengist,367,related
stundu,367,moment
krakka,366,kid
síminn,366,phone
sundur,366,apart
val,366,selection
kennt,366,taught
fengi,366,get
horfiđ,366,prospect
Julie,366,Julie
fjķrum,366,distance
ur,365,wood
kunna,365,know how
Barry,364,Barry
djöfullinn,364,devil
finniđ,364,find
heimskulegt,364,idiotic
hjálpi,364,help
greina,364,analyze
stķru,364,stiff
verđir,363,worth
heimsķkn,363,world
sífellt,363,continually
Schmidt,363,Schmidt
stefnu,363,determination
majķr,362,majķr
haldi,362,restriction
ūurfi,362,dust
kallađ,362,call
ætlarðu,362,Do you think
Taylor,362,Taylor
keypt,362,bought
Louis,362,Louis
heimsins,362,world
rugl,361,stuff
bjáni,361,fool
jörđinni,361,earth
deila,361,argue
Beth,361,Beth
ís,360,ice
Mexíkķ,360,Mexic -
manst,360,remember
gifta,360,marry
veitt,359,given
skrifstofunni,359,office
helst,359,rather
Ned,359,Ned
lent,359,lip
undarlegt,359,strange
meinti,359,mean
ūreytt,359,reunited
lokađu,359,closure
gķđi,358,god
hvarf,358,disappearance
peningarnir,358,the money
egg,358,egg
illt,357,Evil
forđast,357,avoid
skrifstofu,357,office
fjķra,357,far
ūekkt,357,'
notađu,357,use
hélstu,356,main
vitleysu,356,nonsense
dyr,356,door
endar,356,end
unga,356,young
klukkustund,355,hour
vandamáliđ,355,problem
sínar,354,in his own
dauđ,354,dead
peir,354,peers
Ameríku,353,America
sjálfsögđu,353,grasp
ánægju,353,satisfaction
kílķmetra,352,meter
lest,352,train
nũr,352,nũr
fengið,351,gotten
Edward,351,Edward
partí,351,party
handtekinn,351,arrested
auk,351,plus
hæfileika,351,talent
frammi,351,facing
svarar,351,answers
van,350,van
skemmtilegt,350,fun
mínútu,350,minute
hljķta,350,listen
biddu,350,wait
heilsa,350,health
bátinn,350,boat
löng,349,long
fært,349,moved
svæđiđ,349,anesthetic
megiđ,348,may
faðir,348,father
sjái,348,sear
vekja,348,Wake up
stöđugt,348,insane
öryggi,348,security
féll,347,fell
ástfanginn,347,in love
ástfangin,347,in love
skuli,347,shall
líður,347,feeling
stoppa,347,stop
ūriggja,347,a large
ungi,346,young
áđan,346,present
drepinn,346,killed
gluggann,346,window
Shaw,345,Shaw
drengurinn,345,boy
nótt,345,night
ūvi,344,vs
viō,344,viō
elda,344,Cook
vissu,344,certain
valda,344,inflict
giftur,344,married
fjarri,344,far
læknirinn,343,the doctor
náđum,343,acquire
höfđu,343,head
höfđinu,343,the head
ķmeiddur,343,ķMast
valiđ,342,selection
Carter,342,Carter
fréttirnar,342,the news
biđst,342,beast
heyrđirđu,342,hearing
breytist,342,changes
sögur,342,stories
skíthæll,342,pos
full,342,full
kraftaverk,342,miracle
fína,341,fine
sjķnvarpinu,341,TV
dæmis,341,for example
daglega,341,daily
spurningu,341,question
mesta,340,greatest
svaf,340,slept
hlustar,340,listening
krakkarnir,340,the kids
nokkuð,339,somewhat
hundinn,339,dog
ræna,339,hijack
eitthvert,339,something
lögin,339,the law
hliđina,339,side
l,338,l
dķtiđ,338,dķti
hærra,338,higher
heill,338,whole
heyrđir,338,hear
trúirđu,338,belief
taki,338,arrove
vatni,337,water
báđum,337,both
gast,337,shot
Johnson,337,Johnson
ævinni,337,life
áhugavert,337,interesting
brátt,336,soon
lofađi,336,promise
góð,336,good
vélinni,336,the machine
tryggja,336,consolidate
kosta,336,cost
notađi,336,use
drapst,336,destroy
séns,336,chance
lagđi,336,repair
skiptum,336,changed
ūingmađur,336,ūingma |
al,336,al
snertir,335,concerns
leyfir,335,allows
mánuđ,335,month
bardaga,335,battle
rekinn,335,fired
allri,335,all
ímyndađ,335,imagination
slæmur,335,bad
lyf,335,drug
höfuđsmađur,334,head
skrá,334,list
andađu,334,spirit
sterkur,334,forceful
sælir,334,happy
síma,333,phone
viljađ,333,will
mestu,333,most
hleyptu,333,let
krefst,333,demands
taliđ,333,talk
s,333,s
bođ,332,bid
spurninga,332,question
lögguna,332,cop
sleppiđ,332,escape
fagna,331,celebrate
spurningin,331,the questions
stinga,331,stab
háskķla,331,college
veik,331,sick
elsku,331,Dear
hinna,331,the other
skemmtun,330,amusement
byssunni,330,gun
geng,330,walk
hafđir,330,had
vitlaus,330,wrong
söguna,330,story
sami,329,same
hættum,329,hazard
nķttina,329,night
vinan,328,friend
síns,328,his
ķtrúlega,328,delightful
Kína,328,China
stoliđ,328,stole
Wayne,327,Wayne
miklar,327,great
peningunum,327,money
reglur,327,rules
einmana,327,lonely
yrđir,326,mine
tímanum,326,a while
te,326,tea
ömurlegt,326,awful
mega,326,meal
hamingjusöm,326,happy
hlýtur,326,must
ekkĄ,326,vidal
hernum,326,army
Greg,325,Grim
kynni,325,acquaintance
gefst,325,get
leitađ,325,search
velta,324,roll
lífsins,324,life
meinar,324,means
rannsaka,324,research
alvarlegt,324,serious
horft,323,Look
viI,323,VII
neita,323,deny
slökktu,323,off
vestur,323,west
tveim,323,two
jafna,323,even out
skiptiđ,323,replacement
hlaupiđ,323,run
stefna,323,summons
annast,322,take care of
gerđ,322,or
lært,322,learned
fyndinn,322,funny
stúlkuna,322,girl
snillingur,322,genius
v,322,v
næsti,322,near
par,322,couple
finnurđu,322,Finding
sofandi,322,asleep
ei,322,no
landiđ,322,country
örugg,321,safe
hatar,321,hate
mögulegt,321,possibly
med,320,with
alvarlega,320,serious
beygđu,320,bent
les,320,read
Brian,319,Brian
byggja,319,build
ūörf,319,nerve
taldi,319,count
elti,319,chase
löggur,318,cop
foringi,318,captain
ætliđ,318,supposed
lyklana,318,the keys
slaka,318,damage
vakandi,318,awake
kallađur,318,prospect
síđur,318,fine
frétt,317,news
fremur,317,somewhat
ūætti,317,aim
breytast,317,convert
einhverjar,316,some
ekta,316,True
lagađ,316,advice
málið,316,the case
fugl,316,bird
fastur,316,solid
blessađur,316,bless
austur,316,eastern
einasta,316,solitary
hlutina,315,things
opnar,315,will
Dylan,315,Exhaust
glæsilegt,315,elegant
stríđiđ,315,war
karl,315,man
stķđst,315,arrow
reynslu,315,experience
virðist,315,seems
reglurnar,315,the rules
blķm,314,blķm
ennþá,314,yet
lækni,314,doctor
nöfn,313,names
flug,313,flight
ūegja,313,contribute
ákveđa,312,decide
Bobby,312,Bobby
banka,312,knock
hringinn,312,ring
lykt,312,scent
hlakka,311,look forward to
skuldar,311,debt
góðan,311,good
segirðu,311,do you say
hist,311,met
gafst,311,gave
hķteliđ,311,Hķteliđ
Bruce,310,Buce
pissa,310,Pee
farir,309,commission
safna,309,collect
nokkrir,309,several
hlutum,309,things
henda,308,throw
rannsķkn,308,research
stundir,308,hours
gķđum,308,Gķ
Kelly,308,Kelly
helgina,308,the weekend
bækur,307,books
hvaõ,307,what
prķfessor,307,prķfessor
leiđa,307,trauma
þessari,307,this one
skipun,307,commandment
Willie,307,Willie
sjálfa,307,once
ađrar,306,a other
annarra,306,otherwise
réttum,306,dish
ráđast,306,tern
málin,306,matters
ķtta,306,ķtta
ķmögulegt,305,ķShangable
hálft,305,half
hita,305,heat
efa,305,doubt
ætlađ,305,plan
Kristur,305,Christ
fást,305,obtain
drengir,304,boys
fjarlægđ,304,remove
setjiđ,304,sit
séra,304,Reverend
kvöldi,304,evening
gjarnan,304,density
ferð,303,journey
örlög,303,destiny
ķkeypis,303,with free
pund,303,pound
hķpinn,303,delay
sanngjarnt,303,fair
horfi,303,watch
gefast,303,deviate
hugmyndir,302,ideas
hlutverk,302,function
kærastan,302,boyfriend
rífast,302,quarrel
fáir,302,few
Sir,302,Sir
hķpur,302,part
munninn,301,mouth
Rose,301,Rose
yđur,301,YES
ūurft,301,>
búið,300,done
Bandaríkjunum,300,USA
bú,300,farm
mannsins,300,man
leyft,300,allowed
sáum,299,saw
ættuđ,299,should
skipt,299,changed
öruggt,299,safe
hund,299,dog
rænt,299,kidnapped
strákinn,298,boy
leiknum,298,the game
segđi,298,tell
hundruđ,298,hundreds
orðið,298,the word
fáviti,298,idiot
vanur,298,used to
kærastinn,298,boyfriend
stopp,298,stop
skũt,298,shoot
fylgstu,298,you
urđu,298,war
deild,297,section
stökkva,297,skip
Bandaríkin,297,USA
nũlega,297,pretty
eđlilegt,297,deliberate
bũđ,297,bũ
höfđum,296,heads
ákvađ,296,determined
ljķsin,296,ljķsin
fķlkinu,296,The people
amen,296,amen
svarta,296,black
hálftíma,295,half an hour
skilst,295,divorce
sũni,295,singles
vinkonu,295,girlfriend
laug,295,pool
blanda,295,mix
líkur,295,similar
eytt,294,delete
fķlks,294,folks
frænku,294,aunt
Marley,294,Marley
byrjađ,294,begin
brjķta,294,break
mætir,293,attend
kort,293,card
horfđi,293,prospect
Sean,292,Sean
Rachel,292,Rachel
stríđinu,292,the war
stansađu,292,stop
svæđinu,292,anesthesia
Kyle,291,Kyle
saklaus,291,blameless
landinu,291,country
sýna,291,demonstrate
bannađ,291,ban
samning,291,contract
tíđ,291,time
synda,291,swim
útilokađ,291,exclude
borđađ,291,dinner
lofti,291,air
loftiđ,290,air
texti,290,text
ūrátt,290,harmony
lygi,290,lie
Afríku,290,Africa
karlmenn,290,men
Jenny,290,Jenny
fyrirtækiđ,290,corporation
heimur,290,world
skammast,290,be ashamed of
Brad,290,Brad
sturtu,289,shower
flũta,289,float
nærđ,289,force
vitlaust,289,wrong
St,289,St
hrađa,289,inclusive
húfi,289,stop
kæmir,288,would
hálf,288,half
blessi,288,goodbye
fundu,288,found
bekk,288,bench
farnir,288,will
líkađi,288,also
hittast,288,meet
raunverulegt,287,real
Miller,287,Miller
deyjum,287,dy
selt,286,sold
boltann,286,ball
heppin,286,lucky
Simon,286,Simon
spennt,286,excited
vélin,286,machine
leiđina,286,route
dreymdi,286,dream
blķđi,285,blom
skítsama,285,dirty
verri,285,worse
afa,285,Grandpa
dũrka,285,dar
Alan,285,Alan
Claire,285,Claire
börnum,285,children
Tyler,285,Tyler
skilađu,285,return
kveđja,284,selection
nũi,284,nod
slást,284,fight
lærđi,284,learned
göngum,284,tunnel
föst,284,stuck
sagðir,284,said
köllum,284,comply
hundurinn,283,dog
látinn,283,dead
krakkana,283,kids
bil,283,interval
dæmi,283,example
reiđi,283,rem
æđi,283,season
leyfiđ,283,license
stķran,283,solid
spenntur,282,excited
byrjađu,282,start
kvöldmat,282,dinner
meistari,282,champion
setjum,281,set
Parker,281,Parker
leikiđ,281,acting
áhættu,281,risk
hugrekki,281,courage
höfuđ,281,head
brúđkaupiđ,281,bridal
flogiđ,281,mission
oftar,281,more often
aumingi,281,loser
störfum,280,work
ríkur,280,rich
veitir,280,provides
kannast,280,recognize
töskuna,280,bag
tilbúiđ,280,ready
kynntist,280,got to know
skipinu,280,ship
dregur,280,draw
hreinsa,279,clear
lũgur,279,prospect
hálfa,278,half
aô,278,aô
helvítiđ,278,hell
gleymi,278,forget
tilviljun,278,chance
