words,nos,translation
frelsa,172,free
fjandi,172,faach
veröld,172,nature
bætt,172,improved
Kenny,172,Kenny
biðja,172,pray
drukkiđ,172,drink
blķđiđ,172,blues
mættir,172,present
ūjálfi,172,ū
frábærlega,172,extremely
hljķma,172,sound
Martha,172,Martha
rakst,172,discovered
laust,172,loose
fjölda,172,many
Berlín,171,Berlin
missum,171,loss
nũjum,171,nũ
Hannah,171,Hannah
bũsna,171,bas
gætiđ,171,might
nefndi,171,committee
Katie,171,Katie
Steven,171,Steven
blekkja,171,deceive
hreyfđu,171,move
sũniđ,171,program
gáđu,171,could
ansans,171,anchor
ūekkjum,171,rut
ástand,171,state
strákunum,171,the boys
hliđiđ,171,while
sjálfsmorđ,171,autonomous
athyglisvert,171,interesting
lit,171,colour
lestina,171,train
J.,171,J.
sjķn,171,te
skilríki,170,deed
Gus,170,Eruption
mikilvæg,170,important
ūriđju,170,day
Ellie,170,Ellie
lagsi,170,stroke
redda,170,fix
skömm,170,shame
Kennedy,170,Kennedy
hægđu,170,slow
Mickey,170,Mickey
helling,170,lot
margra,170,many
Flķrída,170,Fling
lestin,170,train
bita,170,piece
Meg,170,Mel
Leon,170,Leon
skemmt,170,entertained
talađir,170,speak
sækiđ,170,applies
hurđinni,169,door
yðar,169,your
bíķ,169,bee
ūúsundir,169,ūsunds
söng,169,song
Hitler,169,Hitler
talað,169,spoken
leiđur,169,trajectory
angra,169,frustrate
ūjálfari,169,ward
sveit,169,province
Jaeja,169,Well
fundist,169,found
parna,169,pair
trúađ,169,believe
rosalegt,168,terrible
hvílíkur,168,how it's
hundar,168,dogs
plánetu,168,planet
vaxa,168,develop
finni,168,find
Victor,168,Victor
yndisleg,168,lovely
viđurkenna,168,advice
heilann,168,whole
lát,168,point
föður,168,father
breytingar,168,changes
Miles,168,Mile
svarađi,168,reply
ūjálfun,168,This
réttur,168,right
ķlst,168,ml
svikari,168,traitor
Chuck,168,Chuck
hleypur,168,runs
ferskt,168,fresh
snjall,168,clever
vélarnar,168,the machines
ūakinu,167,ūakinu
deginum,167,day
skepnan,167,creature
Jesú,167,Jesus
flösku,167,bot
Anderson,167,Anderson
beina,167,direct
langađ,167,long
frā,167,frā
stjķrnstöđ,167,star
berjumst,167,fight
sũnum,167,sim
sagðist,167,said
Kvíddu,167,Venth
stöđvar,167,corporate
ađgangur,167,aiming
móti,167,against
borð,167,table
stöđina,167,the stand
Kansas,167,Kansas
júlí,167,July
sleppur,166,escape
kalli,166,call
Ítalíu,166,Italy
fólkið,166,the people
glugga,166,window
Murphy,166,Murphy
samskipti,166,intercourse
buxunum,166,buns
flugvélinni,166,the airplane
ūessarar,166,these
skilabođin,166,message
alltof,166,too
andanum,166,spirit
hefna,166,avenge
Sophie,166,Sophie
skađa,166,scare
upplũsingum,166,disclosure
vinkonur,166,friends
stöđinni,166,position
hķra,166,hatch
láti,166,beloved
heilt,165,whole
myrkrinu,165,dark
passiđ,165,pass
ráđi,165,advice
jörđ,165,earth
tækni,165,technology
sannfæra,165,convince
deyrđ,165,die
náði,165,caught
lengri,165,longer
lokuđ,165,finish
hendinni,165,hand
leiddi,165,lead
nægan,165,enough
vinnan,165,work
opinn,165,open
byggt,165,built
dollarar,165,dollars
klessu,165,clip
meiriháttar,165,major
ljķtt,165,lightly
Cooper,164,Cooper
Adams,164,Adams
búi,164,farm
dũrin,164,Dũr
paõ,164,paÕ
yfirgaf,164,leave
vĄđ,164,and
virki,164,fortress
skotin,164,shot
keyrir,164,runs
Santa,164,Santa
Orleans,164,Orleans
lyfin,164,the
þúsund,164,thousand
nokkurra,164,some
Frķđi,164,Freed
Önnu,163,Anna
falliđ,163,fall
rauninni,163,practice
kynæsandi,163,sexual
borđi,163,board
kring,163,boy
rætast,163,fulfill
horniđ,163,corner
bankann,163,the bank
gulli,163,gold
Brooklyn,163,Brooklyn
sorglegt,163,sad
himnaríki,163,heaven
flķtta,163,perceive
ūakklátur,163,cluster
sjálfir,163,themselves
hefnd,163,vengeance
einbeittu,162,entertain
endi,162,tip
ig,162,ig
lögregluūjķnn,162,policeūjķnn
eyđilagđi,162,Eyđilagđi
skuluđ,162,shall
leggiđ,162,contribute
talarđu,162,speaking
verđlaunin,162,wages
Kannastu,162,Conception
fuglinn,162,bird
helminginn,162,half
Harriet,162,Harriet
hentu,162,suitable
forđa,162,fore
eyrun,162,ears
tķkum,162,tķkum
kũs,162,tease
garđinn,162,yard
rauđu,162,red
Lisa,162,Literate
hækka,162,ascend
bað,161,bath
steininn,161,stone
hlaut,161,received
styđja,161,support
Ron,161,Ron
Laura,161,Laura
höfđi,161,head
heyrum,161,hear
sverđ,161,sword
sjást,161,appear
horn,161,corner
Marion,161,Marion
ma,161,ma
áratugnum,161,decades
fljúgandi,161,fly
fjölskyldur,161,families
bréfiđ,161,letter
Winston,161,Winston
vörn,161,protector
bíta,161,bite
Sawyer,161,Sawyer
drekk,161,drink
hag,161,interest
spítalanum,160,hospital
ágætur,160,fine
brúna,160,bridge
samtal,160,conversation
kemstu,160,Get
varđst,160,become
Víetnam,160,Vietnam
réđ,160,counsel
síðar,160,after
heit,160,pledge
flugi,160,flight
bakinu,160,back
gildra,160,trap
hreinn,160,natural
uppáhalds,160,favorite
sérhver,160,everybody
opnađ,160,open
brást,160,fail
hlũt,160,cover
einfaldlega,160,simply
öðru,160,other
nefndu,160,mention
getað,160,could
ų,160,ų
spilađ,160,play
skítt,159,dirty
manneskjan,159,person
haga,159,conduct
ķsk,159,ķsk
veri,159,being
slappađu,159,relax
öII,159,another
veggnum,159,wall
Grace,159,Grace
læti,159,pity
â,159,Â
stiga,159,stairs
leiđist,159,blow
dugar,159,efficient
sérstaka,159,separate
fullan,159,complete
Barbara,159,Barbara
lækna,159,heal
fegin,159,beauty
efst,159,highest
reikninginn,159,the bill
ađlađandi,159,alarming
sátt,158,true
drakk,158,drink
rugli,158,confusion
meō,158,me
Park,158,Park
hittum,158,cherish
dreymt,158,dreamy
miklir,158,extensive
lendum,158,coast
bao,158,bao
Clyde,158,Clyde
Popper,158,Popper
hvítt,158,White
neins,158,anything
Leo,158,Leo
kennsl,158,recognition
hun,158,she
Bernard,158,Bernard
eiturlyf,158,drugs
hent,158,birth
hreyfingu,158,movement
erfiđur,157,difficult
fæddur,157,born
innri,157,inner
nķvember,157,November
Davis,157,Davis
gildru,157,trap
fjáranum,157,the pasture
mæli,157,measure
vikuna,157,week
séuđ,157,be
sjķnvarp,157,television
lágt,157,low
Emma,157,Emma
stráknum,157,boy
frönsku,157,French
stuttu,156,short
dóttur,156,daughter
fínu,156,fine
fréttum,156,news
afsökun,156,apology
hvíti,156,white
stjķrinn,156,star
uppreisn,156,uprising
tilfinningu,156,sense
paô,156,pa
stúlkurnar,156,The girls
dó,156,died
hringiđ,156,call
beinni,156,straight
stelpum,156,girls
heimsk,156,stupid
sjaldan,156,seldom
búist,156,are expected
hræđileg,156,conceal
borđađu,156,eating
nánar,156,farther
barnið,155,the baby
ađstođarmađur,155,Antođarmađur
þessir,155,these
Dad,155,Dad
botn,155,bottom
mikilvægur,155,important
hljómar,155,sounds
fáðu,155,Get
réđi,155,counsel
almennilega,155,properly
afsaka,155,apologize
bendir,155,suggests
örlögin,155,destiny
sáuđ,155,saw
samiđ,155,same
andann,155,breath
keyrt,155,run
svei,155,wonder
niðri,155,down
sveik,155,betrayal
tak,155,gas
seattle,155,seattle
fyrirtækinu,155,the company
seinni,155,later
höfn,155,harbor
sækjum,155,approve
by,155,live
nokkurs,155,somewhat
sönnun,155,proof
föstudaginn,154,Friday
þekkir,154,knows
hægra,154,right
birta,154,dawn
þrír,154,three
Todd,154,Todd
angrar,154,prove
sætta,154,reconcile
Dolly,154,Dolly
Nicholas,154,Nicholas
færðu,154,Move
gaurar,154,guy
útvegađ,154,provide
sambönd,154,relationships
frábæra,154,wonderful
fķrna,154,clarinate
ūekkiđ,154,ekkiđ
reyniđ,154,try
sláđu,154,craving
sprakk,154,explode
búđinni,154,camp
gamlan,154,old
tũndi,154,intercourse
tilfelli,154,case
stjörnurnar,153,the stars
æfingu,153,practice
ķhult,153,ķhult
ljķsi,153,light
peim,153,peim
vitaskuld,153,obvious
ákvarđanir,153,determination
skítur,153,dirt
dæmdur,153,judged
Green,153,Green
rúmlega,153,over
myrkur,153,darkness
hringur,153,circle
ūriđji,153,ūriđi
klæđa,153,dinner
ķttađist,153,ķtta
misskilningur,152,misunderstanding
reyndir,152,tested
sviđ,152,aircraft
viđbúinn,152,curly
forsetans,152,the president
heimilisfang,152,address
hlũđa,152,sound
hringurinn,152,ring
Lewis,152,Lewis
þann,152,that
vikunni,152,week
brostu,152,smile
min,152,min
nũtur,152,attend
sögunnar,152,saw
friđur,152,free
rosa,152,pink
rķlegir,152,pleasant
eđli,151,editor
fresti,151,everyday
dóttir,151,daughter
raunveruleg,151,real
viđvörun,151,warning
dásamleg,151,wonderful
fķtunum,151,fillers
getið,151,can
auđveldlega,151,easily
rekiđ,151,operate
mönnunum,151,humans
May,151,May
skaust,151,shot
heilanum,151,brain
ávísun,151,check
skemmtum,151,entertaining
ķsanngjarnt,151,ķSenic
plata,151,record
felst,151,hike
röngum,151,wrong
vopniđ,151,arms
móðir,151,mother
sameiginlegt,151,in common
dregiđ,151,slow
gleraugun,150,glasses
Stanley,150,Stanley
hestur,150,horse
myrtir,150,murder
símanúmeriđ,150,phone number
Truman,150,Faithful
elt,150,chase
heilan,150,whole
blessun,150,blessing
jafnt,150,equally
máta,150,manner
fyrrum,150,formerly
glöđ,150,hallowment
hvítum,150,white
einstakur,150,unique
kraft,150,power
drottningin,150,queen
beit,150,bait
hugann,150,mind
hatt,150,hat
foringinn,149,leader
snýst,149,spin
berđu,149,beright
Gjörðu,149,Do
hķfst,149,assumed
blindur,149,blind
piltur,149,boy
Gandhi,149,Gandhi
rauđur,149,red
bærinn,149,the town
nái,149,to get
Frakklandi,149,France
fundur,149,convention
hķpi,149,hķpi
stundin,149,hours
góðu,149,good
ekiđ,149,duty
skála,149,cabin
vasanum,149,pocket
teppi,149,blanket
kvöldsins,149,evening
blađinu,149,sheet
benda,149,point
hersins,149,military
drullađu,149,muck
keyrđi,149,run
gæfi,149,state
hjáIpa,148,with
Ford,148,Ford
trúiđ,148,believe
rekin,148,drive
spara,148,save
slæmu,148,bad
eitur,148,poison
kærustuna,148,girlfriend
sviđinu,148,the pitch
feita,148,fat
ķsköpunum,148,ķ Creation
skar,148,rag
Phoenix,148,Phoenix
gáfu,148,gave
brúnni,148,bridge
lemja,148,beat
sķtti,148,sķ
reglu,148,rule
líkjast,148,favor
endađi,147,end
fylgt,147,followed
bæði,147,both
flugiđ,147,flight
ūjķnn,147,ūjnn
penna,147,pen
Baker,147,Baker
líkami,147,body
tilbaka,147,back
gilda,147,valid
dũrt,147,dar
nafninu,147,the name
fríi,147,vacation
skķna,147,scare
skķnum,147,sky
Bernie,147,Bernie
reiđubúinn,147,tear
ķgnvekjandi,147,ķGnviking
sjúkrahús,147,hospital
veitti,147,awarded
færđi,147,productive
Rich,146,Rich
sũslu,146,tank
andar,146,spirit
andađ,146,spirit
særđur,146,hurt
bjargađu,146,save
drepið,146,kill
ė,146,ė
pantađi,146,Pantađi
keppninni,146,the competition
rústa,146,devastate
nemendur,146,students
ađstođa,146,ađstođa
Gallagher,146,Gallagher
heyrđuđ,146,hear
Sandy,146,Sandy
syndir,146,sins
konunnar,146,woman
einrúmi,146,private
lausu,146,vacant
klúbbnum,146,club
leggist,146,lie
ástæđuna,146,loving
flytur,146,move
nũt,146,nũt
blađamađur,146,magazine
línuna,146,line
taugarnar,146,nerves
venjast,145,get used
svipinn,145,look
indíána,145,Indian
tengjast,145,connect
opnaðu,145,Open
Artie,145,Artie
komnar,145,arrival
kjark,145,courage
gerđuđ,145,do
endir,145,end
ágúst,145,August
ir,145,year
uh,145,uh
skipanir,145,commands
ræđu,145,talk
ströndina,145,beach
Hrķi,145,Rapid
einstakt,145,unique
Símon,145,Simon
klikkađ,145,click
framiđ,144,forward
bros,144,smile
fremst,144,foremost
litlum,144,small
náungann,144,neighbor
greip,144,seized
sjķnum,144,sack
skķlinn,144,screen
standi,144,stand
sprengju,144,bomb
náungar,144,neighbor
Brandon,144,Fire
dķmara,144,darma
hlutunum,144,things
blöđin,144,blues
hjķnin,144,bras
vandræđa,144,trouble
drķ,144,drum
beðið,144,waited
undirbúiđ,144,prepaid
stráksi,143,boy
gesti,143,guests
Kathy,143,Kathy
tilefni,143,occasion
dá,143,adore
væni,143,deception
hunda,143,dogs
fífli,143,fool
glugganum,143,window
erfiđleikum,143,hardship
miđju,143,month
Bravķ,143,Bravķ
sũn,143,pitch
berum,143,lice
konungs,143,king
hugsun,143,thought
slysi,143,accident
Sidney,143,Sidney
kķngur,143,kķ
mķtmæli,143,salutation
æstur,143,excited
barnes,143,child
ũmsu,143,ũmsu
ūykistu,143,ūykistu
kostađi,142,cost
Wallace,142,Wallace
síðustu,142,last
Nicole,142,Nicole
æsku,142,youth
brandara,142,joke
drengnum,142,boy
át,142,ate
Hong,142,Hong
heilu,142,whole
Zoe,142,Zoe
starfsmenn,142,employees
júní,142,June
laugardaginn,142,Saturday
bílar,142,cars
ķvenjulegt,142,ķ UK
skutu,142,shoot
nauđsynlegt,142,normally
hoppa,142,hop
búmm,142,boom
klárt,142,clearly
Craig,142,Crazy
endist,142,huge
frúr,142,poem
heimilisfangiđ,142,address
Dolores,142,Dolores
heId,142,hey
spyrđ,142,question
Lísa,142,Look
miđri,142,May
ūvílíkur,142,liquid
milljķnum,142,millions
stjörnu,142,star
Catherine,142,Catherine
jķlasveinninn,142,Jķlasmann
augnablikinu,142,the moment
sporum,141,footprint
venjuleg,141,ordinary
munurinn,141,difference
skyn,141,sensation
gangiđ,141,browse
étur,141,eat
Garrett,141,Garrett
tilbúnar,141,ready
erfiđara,141,difficult
vandræđalegt,141,problemable
Francis,141,Francis
Debbie,141,Debbie
krabbamein,141,cancer
West,141,West
framtíđinni,141,future
formi,141,shape
Trölli,141,Narrow
eyđilagt,141,destitute
endurtaka,141,repeat
læsa,141,lock
Jeremy,141,Jeremy
ruglađur,141,confusion
ræđst,140,Our
stķrar,140,stomach
partíiđ,140,party
flugvöllinn,140,airport
hjartanu,140,heart
nũjasta,140,nast
lautinant,140,lieutenant
grét,140,cried
skráđ,140,register
bær,140,town
rísa,140,rise
Patrick,140,Patrick
löggu,140,cop
kvikmynd,140,film
kveđju,140,pick
hárinu,140,hair
ūekktir,140,-
heiđarlegur,140,horrible
áform,140,planning
sũningu,140,relaxation
fyndin,140,comic
helmingi,140,half
Sammy,140,Sammy
elskarđu,140,love
sorg,140,sorrow
athugum,140,note
reyndum,140,experience
sönnunargögn,140,evidence
meiddur,139,hurt
spænsku,139,Spanish
hreinskilni,139,honesty
fallegar,139,beautiful
hestinn,139,horse
parf,139,Parf
sýndu,139,show
hreyft,139,moving
uppnám,139,excitement
stilltu,139,adjust
skemmtileg,139,comic
sannleika,139,truth
nammi,139,candy
pinn,139,pin
flugvélar,139,airplanes
líđi,139,grief
vex,139,grows
höggi,139,hit
náð,139,Grace
Kay,139,Kay
verkinu,139,the work
mæla,139,measure
verulega,139,considerable
árans,139,year
kastađu,139,throw
dķm,139,dķm
skríđa,138,crap
miskunn,138,mercy
gangandi,138,walking
fullorđinn,138,full
klæddu,138,dressed
heimski,138,stupid
lygar,138,deception
gefið,138,administer
þurfa,138,require
rann,138,rise
stígur,138,way
Williams,138,Williams
heimiliđ,138,household
Gracie,138,Gracie
eldhúsiđ,138,kitchen
hjálpaðu,138,Help
hjálpina,138,the help
ljķđ,138,light
Dorothy,138,Dorothy
hljķmsveit,138,band
borđađi,138,board
bangsi,138,Teddy bear
laugst,138,feet
hefđuđ,138,have
steik,138,steak
lífið,138,life
birtast,138,appear
opinberlega,138,officially
Trevor,137,Trevor
aleinn,137,single
litlir,137,small
ríkiđ,137,rule
Englands,137,England
spauga,137,tease
settir,137,call
viđbúin,137,living
ímynda,137,imagine
dálitlu,137,plenty
hræđir,137,horror
tal,137,talk
mök,137,glare
orðin,137,become
ótrúlegt,137,unbelievable
ūakklát,137,dropping
ungu,137,young
mögulega,137,possibly
boltinn,137,ball
magann,137,stomach
balliđ,137,ball
ákveđur,137,definite
Janet,136,Janet
skķr,136,clear
sjötta,136,sixth
pín,136,with
spilum,136,games
Louise,136,Louise
mánuđir,136,months
skjķl,136,bar
feitur,136,fat
kynnir,136,presents
ađstöđu,136,ancestry
vandi,136,trouble
rusl,136,debris
búđina,136,camp
greyiđ,136,gray
biluđ,136,break
skaI,136,would
nũjustu,136,nurses
Mississippi,136,Mississip
Dale,136,Dale
Sebastian,136,Sebastian
hengja,136,suspend
fallinn,135,fallen
endalaust,135,endless
Wyatt,135,Wyatt
opnađi,135,open
sjúkrahúsinu,135,hospital
hafna,135,overrule
virđa,135,worth
stađi,135,stand
ūykja,135,while
reglum,135,rules
laumast,135,sneak
vinar,135,a friend
atkvæđi,135,vote
staður,135,location
eldsneyti,135,fuel
úrskeiđis,135,wreckage
klæđast,135,dress
Hypjađu,135,Hypjađu
munuđ,135,will
fylgdi,135,followed
gķđri,135,god
hafnađ,135,reject
brú,135,bridge
Perry,135,Perry
Nikki,135,Nod
tölur,135,numbers
Duke,135,Duke
leiki,135,acting
verstu,135,worst
Montana,135,Montana
gerðirðu,135,did you
keppnina,135,the competition
skemma,135,spoil
ķvini,135,ķvini
látin,135,song
hringjum,135,circle
drepnir,135,killed
furđulegt,135,terribly
syngdu,135,sing
skepnur,134,animals
falli,134,substance
fullkomna,134,perfect
buxur,134,pants
ljós,134,light
eyđileggur,134,destruction
minnist,134,recall
aðrir,134,others
lifđu,134,living
heyr,134,hear
súrefni,134,oxygen
ķvinur,134,ķ friend
kalliđ,134,call
aIItaf,134,aiitaf
hrađi,134,hard
andskoti,134,dancing
pau,134,paus
yfirmenn,134,bosses
vegg,134,wall
hvorn,134,each
svafstu,134,sleep
kurteis,134,respectful
flugvellinum,134,airport
sel,134,seal
stígđu,134,path
einstök,134,special
skũrsluna,134,shoot
Lofarđu,134,Promise
karlar,134,men
Lake,134,Lake
viô,134,We
fjöldi,134,lot
B.,134,B.
Alexander,134,Alexander
lan,134,country
Ricky,134,Ricky
líkurnar,134,chance
faldi,134,ating
komuna,134,coming
hlustađ,134,listen
lögfræđing,134,legal
bankanum,134,the bank
Gandalfur,134,Goat
umdæmi,133,district
áttađi,133,eighty
veltur,133,depends
Bannister,133,Prohibition
áhöfn,133,crew
notalegt,133,comfortable
Judy,133,Judy
sittu,133,sit
spurningunni,133,question
vegum,133,road
sviđi,133,sting
öfugt,133,reversed
Penny,133,Penny
leitađu,133,search
sumum,133,some
náðu,133,accomplish
kála,133,cell
hendina,133,hand
kafi,133,immerse
dauđu,133,dead
mílur,133,miles
stofunni,133,room
læknis,133,medical
tíkarsonur,133,bitch
svefni,133,sleepy
fastar,133,solid
gamlir,133,old
rændi,133,robbed
draumi,133,dream
skrifstofa,132,office
ömurleg,132,saddened
viđeigandi,132,owner
rķ,132,ķ
Sesar,132,Cites
lofar,132,promise
báturinn,132,the boat
Japan,132,Japan
auki,132,insertion
staddur,132,stand
kúreki,132,cottage
geymdu,132,store
snilld,132,genius
sterkt,132,strong
punktur,132,point
ūráir,132,yo
glæpamenn,132,criminals
hvoru,132,which
kjķlinn,132,chip
bla,132,blue
ķfrísk,132,ķfry
spilla,132,contaminate
ímyndađu,132,imagine
truflar,132,disturbs
morgnana,132,mornings
varđstjķri,132,Varðstjķri
Manny,132,Manny
illu,131,block
vodka,131,vodka
sũning,131,relaxation
skora,131,score
pess,131,pess
smáatriđi,131,slight
hittirđu,131,meet
Walker,131,Walker
Parísar,131,Paris
húrra,131,chimney
hvaðan,131,where
búđ,131,farm
áhyggjum,131,care
skiljir,131,return
rokk,131,rock
mikilvægasta,131,most important
paradís,131,paradise
kjķsa,131,compact
prķfiđ,131,try
borgara,131,citizen
mánađa,131,month
læknar,131,doctors
stalst,131,argue
heilinn,131,brain
sleppir,131,drop
sleikja,131,lick
markmiđ,131,target
sykur,131,sugar
afrit,130,copy
björgum,130,rescue
skíthællinn,130,shit
grænt,130,green
alfa,130,alpha
kastar,130,throw
Ward,130,Ward
lán,130,loan
hverfiđ,130,neighborhood
Fuller,130,Fuller
borgum,130,cities
feiti,130,fat
Ellen,130,Ellen
eiginmann,130,husband
ísinn,130,ice cream
heyrirðu,130,You hear
stráka,130,boys
ađferđ,130,accomplishment
vođa,130,worst
segjast,130,recreate
hefjum,130,begin
morđingja,130,murder
hetjur,130,heroes
Rogers,130,Rogers
september,130,September
sími,130,telephone
tölvunni,130,computer
ferli,130,process
J,129,J
framdi,129,forward
Shakespeare,129,Shakespeare
barđi,129,fight
fangelsiđ,129,jail
skíta,129,shit
göngin,129,the tunnel
Lawrence,129,Lawrence
api,129,ape
skilji,129,divorce
vegur,129,way
viljandi,129,intentional
símtöl,129,calls
Monica,129,Monica
vímu,129,damage
eigið,129,own
Frankenstein,129,Frankenstein
Charlotte,129,Charlotte
rúst,129,rubble
morguninn,129,morning
slík,129,such
einföld,129,simple
síðast,129,last
losnar,129,reduce
bragđiđ,129,flavor
muninn,129,difference
trúlega,129,probably
lykil,129,absolute
ástandi,128,condition
bolti,128,ball
skutla,128,shuttle
leiđtogi,128,ledge
afhenda,128,deliver
Diego,128,Diego
háttinn,128,profile
léti,128,to
desember,128,December
Barney,128,Barney
sjķ,128,sea
forsetann,128,president
Bud,128,Bud
verr,128,worse
strætķ,128,bus
Nora,128,North
stærstu,128,greatest
stingur,128,pick
réttlæti,128,justice
feta,128,foot
dansar,128,dances
stöđuna,128,stand
litur,128,color
yfirvöld,128,authorities
vitið,128,know
and,128,And
vísbendingar,127,clues
neitađ,127,refuse
Glætan,127,Greeted
Bucky,127,Bucky
vinnurđu,127,work
Miranda,127,Miranda
spítalann,127,hospital
ljķta,127,discourage
munir,127,difference
þurfti,127,needed
asninn,127,donkey
skelfilegt,127,horrible
ūvert,127,on
ķūægilegt,127,ķ ķ ķ
innst,127,heart
bindi,127,volume
stķrkostleg,127,stiff
smíđa,127,construction
nafnið,127,the name
skotmarkiđ,127,target
blađ,127,page
áhættuna,127,risk
illur,127,wicked
bķkstaflega,127,constantly
lausan,127,free
samūykki,127,piece
ūakiđ,127,""""
tengja,127,connect
keyri,127,run
bug,127,impression
kassann,127,box
frábærar,127,excellent
rannsķknir,127,research
gjöriđ,127,did
viđskiptin,127,exchange
Chester,126,Chester
njķtiđ,126,nine
Alison,126,Alison
fuglar,126,birds
ar,126,am
ljúkum,126,compulsory
Emily,126,Emily
heitiđ,126,name
feldu,126,coat
engra,126,none
ūjást,126,you
sannleikur,126,truth
virði,126,worth
há,126,skin
hádegismat,126,lunch
fyrirmælum,126,instruction
útlit,126,outlook
kjallaranum,126,basement
völd,126,power
stjörnur,126,stars
riđiđ,126,ride
slķđ,126,slķ
dauður,126,dead
Rico,126,Rico
afl,126,strength
brjálæđingur,126,crazy
drykki,126,drink
Mal,126,Mal
Donna,126,Donna
Riley,125,Rile
hjartaáfall,125,heart attack
klám,125,pornography
kátur,125,merry
vonađi,125,hope
heitur,125,hot
kallinn,125,call
gögnin,125,the data
tækiđ,125,equipment
beltiđ,125,belt
efri,125,upper
brũtur,125,focus
raunverulegur,125,real
togađu,125,pull
kauptu,125,purchase
götunum,125,the
persķnu,125,person
fætinum,125,leg
rassgatiđ,125,asshole
jörđin,125,earth
Tucker,125,Tucker
hálfur,125,half
Maria,125,Maria
krafti,125,force
fylgdist,125,follow
Lori,125,Lori
gefist,125,move
Desmond,125,Depsmond
flyt,125,transfer
leyf,125,resolution
ķtal,125,ķ talk
forrit,125,program
bank,125,bank
hesta,125,horses
Edgar,125,Edgar
stķl,125,stump
nakinn,125,bare
verðið,125,price
langaði,125,wanted
sjúklingur,125,patient
mánudaginn,124,Monday
ala,124,feed
lendi,124,fashion
Georgia,124,Georgia
sjúga,124,suck
hreyfir,124,moves
hvorugt,124,neither
lögreglu,124,police
plús,124,plus
list,124,art
tķnlistin,124,tķnist
önnum,124,busy
barst,124,received
fylki,124,state
bækurnar,124,the books
miđjum,124,media
haus,124,head
ūrá,124,jr
sælar,124,delays
menntun,124,education
Byam,124,Byam
hetju,124,hero
komuđ,124,come
Pam,124,Pam
kaffibolla,124,cup
væruđ,124,would be
gamlar,124,old
tungliđ,124,moon
meiđir,124,hurt
drepast,124,killed
Rock,124,Rock
köku,124,cake
slíkum,124,such
spiliđ,124,play
værirđu,123,Were
kirkjunni,123,church
kvöldverđ,123,dinner
oktķber,123,octķber
hleypt,123,pass
drullastu,123,muddled/confused